i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1021,66.447,58.791000000000004,0,159,448.717,1090.6580000000001,124.125,430,1072,39,37,37.965,34.241,157.997,0.833,40.705999999999996,431,1079,152.17600000000002,34.839,1.109,0.902,0.929
2,1047,37.621,52.855,0,159,2500.98,2779.933,204.551,2481,2738,41,81,91.641,14.547,67.607,0.314,86.406,2484,2817,66.105,19.09,6.3,0.159,0.773
3,1124,137.87,19.845,59,159,2810.972,3067.2729999999997,383.44599999999997,2779,3017,58,101,64.61399999999999,22.149,114.41799999999999,0.096,103.81200000000001,2805,3017,103.367,41.021,2.917,0.34299999999999997,0.34
4,1181,135.116,39.03,0,159,1990.8570000000002,3134.7009999999996,223.865,1971,3101,39,71,69.218,21.724,78.931,0.29600000000000004,71.449,1986,3172,83.571,30.898000000000003,3.1860000000000004,0.314,0.6409999999999999
5,1210,99.179,42.687,0,159,1213.037,477.009,186.368,1178,465,75,23,75.347,20.447,0.575,0.43799999999999994,75.80199999999999,1178,470,171.65599999999998,22.421999999999997,3.685,0.271,0.852
6,1261,123.671,35.121,0,159,312.788,3294.3979999999997,482.74199999999996,271,3227,83,148,89.962,17.847,58.167,0.068,160.851,273,3375,66.942,43.248000000000005,5.041,0.198,0.257
7,1293,132.944,18.754,83,159,1853.295,2966.2309999999998,522.8009999999999,1789,2935,126,72,63.861000000000004,25.779,165.49900000000002,0.059000000000000004,131.84799999999998,1792,2949,157.714,63.08,2.477,0.40399999999999997,0.188
8,1306,9.95,30.061999999999998,0,159,3068.3190000000004,2276.3320000000003,156.167,3046,2256,44,44,41.388000000000005,40.177,63.494,0.6729999999999999,46.615,3060,2300,67.286,39.88,1.03,0.971,0.903
9,1346,17.436,39.907,0,159,1942.059,2899.7309999999998,163.72299999999998,1913,2876,53,48,61.735,27.76,141.371,0.631,63.246,1914,2879,145.305,32.266999999999996,2.224,0.45,0.873
10,1387,125.417,38.472,0,159,1369.753,139.68200000000002,543.855,1309,111,119,50,75.087,23.519000000000002,2.173,0.059000000000000004,121.01700000000001,1309,132,169.52599999999998,50.0,3.193,0.313,0.326
11,1768,42.538000000000004,54.045,0,159,1574.642,1448.134,294.04900000000004,1551,1411,62,69,69.023,32.614000000000004,115.90299999999999,0.257,80.156,1560,1416,130.446,41.32,2.116,0.473,0.665
12,1791,85.74700000000001,46.731,0,159,1726.0020000000002,201.69099999999997,254.735,1689,179,79,56,82.82799999999999,27.531999999999996,24.749000000000002,0.34700000000000003,87.09200000000001,1695,231,34.236999999999995,37.35,3.008,0.332,0.685
13,1852,49.91,55.758,0,159,2670.864,96.51700000000001,374.375,2638,59,55,82,65.315,36.103,81.125,0.166,87.464,2657,141,67.834,53.657,1.8090000000000002,0.5529999999999999,0.5770000000000001
14,2453,36.868,51.968999999999994,0,159,2552.577,414.954,325.161,2514,388,72,57,65.262,47.857,178.669,0.292,75.76899999999999,2514,434,22.504,55.074,1.364,0.733,0.718
15,2644,38.981,53.589,0,159,1847.6789999999999,3391.752,385.789,1805,3364,98,65,73.464,45.825,10.39,0.223,100.225,1805,3403,12.095,59.327,1.6030000000000002,0.624,0.6759999999999999
16,2685,34.31,49.863,0,159,2513.849,1296.529,358.13199999999995,2468,1260,82,90,97.345,35.119,136.12,0.263,111.126,2473,1262,132.447,52.211999999999996,2.772,0.361,0.6809999999999999
17,3063,17.659000000000002,36.11,0,159,2525.4120000000003,344.181,248.007,2493,312,67,65,67.53,57.751000000000005,50.637,0.626,71.176,2495,357,24.044,62.405,1.169,0.855,0.9229999999999999
18,3094,19.539,39.263000000000005,0,159,2543.594,272.33299999999997,246.25,2506,245,80,57,76.28,51.644,16.977999999999998,0.6409999999999999,81.39399999999999,2506,280,10.62,57.0,1.4769999999999999,0.677,0.8909999999999999
19,5105,125.97399999999999,28.851999999999997,21,159,1272.7069999999999,394.095,341.889,1226,350,96,88,84.87799999999999,76.579,159.179,0.5489999999999999,97.08200000000001,1230,372,155.019,85.4,1.1079999999999999,0.902,0.7979999999999999
20,6603,98.53399999999999,51.053000000000004,0,159,1213.975,254.59599999999998,987.543,1145,187,188,172,138.263,60.806000000000004,149.975,0.085,249.834,1149,189,137.433,101.01,2.274,0.44,0.401
21,6765,48.551,47.977,0,159,970.8530000000001,3045.5040000000004,516.399,911,2950,106,176,137.23,62.766999999999996,101.257,0.319,187.275,915,2950,109.98299999999999,80.768,2.186,0.457,0.706
22,7181,147.827,13.106,0,159,2070.532,3176.065,1164.479,1999,3069,153,182,144.695,63.18899999999999,137.21,0.067,208.21400000000003,2027,3070,126.209,106.51,2.29,0.43700000000000006,0.47
23,8288,98.29,52.73,0,159,922.284,3332.461,450.458,862,3274,118,116,111.01700000000001,95.054,27.851999999999997,0.513,132.09799999999998,862,3359,29.476,104.346,1.168,0.856,0.785
24,8674,22.276999999999997,39.677,0,159,1073.135,3035.889,863.72,983,2943,156,180,139.321,79.271,94.55799999999999,0.146,192.567,1035,3122,68.36399999999999,137.116,1.758,0.569,0.45299999999999996
25,8909,77.903,56.385,0,159,1407.858,2242.951,1170.077,1321,2142,164,189,165.14700000000002,68.686,43.214,0.08199999999999999,210.11700000000002,1341,2324,60.018,101.89399999999999,2.404,0.41600000000000004,0.515
26,10931,148.988,8.252,103,159,3037.6459999999997,1421.414,1417.156,2948,1346,206,140,154.92600000000002,89.835,177.767,0.068,210.72299999999998,2952,1405,163.457,138.445,1.725,0.58,0.541
27,13062,68.982,63.335,0,159,862.199,111.02600000000001,650.039,789,37,150,153,130.444,127.49600000000001,167.94099999999997,0.38799999999999996,166.976,814,37,123.024,150.0,1.023,0.977,0.6970000000000001
